LivingPlace,HouseholdID,HHeadSex,HHeadAge,HouseholdSize,FlowIncome,EducExpenditure,FamilyID
2860019405,1,Male,14,1,28914.66,1161.29,78268
2460911517,1,Female,15,1,33784.301,1016.12,68256
1202858505,1,Male,15,1,10198.61,0,34618
1361001516,1,Female,16,3,20950.17,0,38389
1003304516,1,Male,16,3,30572.189,2032.25,29583
2504349623,1,Male,16,2,13377.03,900,70610
1507774701,1,Male,16,1,30816.711,0,42075
1801616520,1,Male,16,1,48706.18,0,50829
2960011420,1,Male,16,2,17667.34,0,80473
800274003,1,Male,16,4,20543.471,0,21097
2403943303,1,Female,16,3,12666.89,580.64001,67191
2360133710,1,Female,16,2,33909.09,0,65811
1661151614,1,Male,16,3,29018.359,120,46764
1600912901,1,Male,16,1,43903.141,0,45178
1860366908,1,Male,16,1,11849.56,0,51600
1960142919,1,Male,16,1,23003.32,0,54276
2001569203,1,Male,16,1,16417.58,0,55643
1360496418,1,Female,16,4,29334.381,0,38042
1701851002,1,Female,16,3,15025.14,0,47917
3101589002,1,Female,16,3,26758.881,0,84137
1760028522,1,Female,16,2,15367.21,290.32001,48947
1060393821,1,Male,16,2,15032.44,0,30617
260003207,1,Male,17,1,18791.199,0,4669
2460835704,1,Male,17,1,14188.43,0,68174
207987818,1,Male,17,3,45180.57,0,4502
207987415,1,Male,17,3,26565.891,0,4491
301084601,1,Female,17,2,49462.09,4500,8096
1160287810,1,Male,17,3,22040.471,0,32543
260148714,1,Male,17,3,23298.77,0,5706
400108305,1,Female,17,4,36775.641,0,9661
2760426610,1,Female,17,1,5119.1699,0,75891
460015502,1,Male,17,1,18173.551,0,11202
3202065902,1,Male,17,1,19804.869,0,87675
1801431910,1,Female,17,2,80981.031,0,50724
1261276319,1,Male,17,3,9023.2002,435.48001,36186
1001379505,1,Female,17,3,4891.2998,0,28826
1260001820,2,Male,17,2,21739.779,0,35305
460146701,1,Male,17,2,24694.74,540,11426
1605583517,1,Male,17,2,31990.77,0,46246
2260056604,3,Male,17,3,22974.68,0,61893
2301930802,1,Male,17,2,36256.352,0,64712
2161648620,1,Male,17,3,24308.711,0,59819
1801539410,1,Female,17,2,34814.73,0,50781
1508758506,1,Male,17,1,6073.5801,0,42145
3160361811,1,Female,17,4,12000.62,0,86075
2901101319,2,Female,17,3,20218.25,0,79548
3160441806,1,Male,17,3,6008.8398,0,86220
160146510,1,Male,17,2,20866.881,0,2182
301101803,2,Male,17,3,26432.369,0,8140
1203005707,1,Male,17,2,24790.25,0,34648
1562027310,1,Male,18,3,12212.47,0,44947
1360949020,1,Male,18,4,27489.02,1596.76,38364
360010521,1,Male,18,2,31753.4,0,8734
3103328814,1,Male,18,3,16138.97,0,84877
703145318,1,Male,18,1,21139.881,0,19563
1204632921,1,Female,18,2,22255.42,1306.4399,35243
400517506,1,Male,18,1,7616.4302,0,10023
2901726701,2,Female,18,2,15035.42,0,80092
260125517,1,Male,18,2,33261.121,0,5578
560360216,1,Male,18,3,33611.98,0,15404
1911362719,1,Male,18,2,35650.371,0,53699
1601079606,5,Female,18,1,19974.221,6150,45211
2303023605,1,Male,18,3,53975.391,0,65282
2500617501,1,Male,18,2,29448.381,0,68738
704065916,1,Female,18,3,4941.8799,0,19790
206918913,1,Male,18,3,17853.199,0,4129
704065403,1,Female,18,4,19580.289,0,19771
3063073204,1,Male,18,2,13517.53,0,83295
2201928506,1,Male,18,1,16160.81,0,60990
1301010005,1,Male,18,1,7487.8501,0,36755
101856904,1,Male,18,3,30452.49,11119.34,1197
3160465317,1,Male,18,4,14493.83,0,86326
1902054401,1,Male,18,4,33849.391,0,52193
2260384810,1,Female,18,3,32607.43,0,62939
360204714,2,Male,18,1,29763.92,0,9523
808207802,1,Male,18,2,35654.91,0,23594
2960189008,1,Female,18,4,8804.3398,0,80698
101712003,1,Male,18,2,49765.051,1887.09,1100
2260143206,1,Male,18,2,31925.221,0,62225
2160730021,1,Female,18,3,10557.39,2612.8899,59473
1604334024,3,Male,18,2,14517.38,0,45930
1413609312,1,Female,18,2,30477.01,0,40526
2105287701,2,Female,18,4,11480.92,0,58648
2002729601,1,Male,18,2,57665.238,0,55906
1002062906,1,Male,18,2,31606.471,0,29114
2604644904,1,Male,18,1,19329.189,0,72992
860487801,1,Female,18,2,27498.76,450,24743
1404364006,1,Female,18,2,28027.16,5806.4502,39188
1260181714,1,Female,18,3,29550.221,0,35433
806379903,1,Female,18,2,44712.73,0,22995
1800393904,2,Male,18,3,30203.971,87.089996,49912
101449804,2,Male,18,2,21998.811,0,928
560165502,2,Male,18,3,21913.029,0,15141
2802064301,1,Male,18,2,23704.609,0,76847
102192211,1,Male,18,2,15167.87,0,1411
504237706,2,Male,18,4,17065.561,0,13530
3260030008,1,Male,18,3,14465.94,0,88024
3260336709,1,Female,18,2,23157.6,0,88341
401110015,2,Male,18,2,24587.461,0,10658
300061402,1,Male,18,3,35478.059,0,6892
1460274023,1,Male,18,2,17671.301,0,40903
704601804,1,Male,18,1,19929.17,0,19993
1760106404,1,Female,18,3,24631.77,0,49266
3260139621,1,Male,18,2,22647.529,0,88169
860634908,1,Male,18,2,22468.43,0,25024
1060426022,1,Male,18,3,25282.83,0,30623
460181208,1,Male,18,2,15655.6,0,11554
660057817,1,Male,18,2,16455.711,0,18326
2302619906,1,Male,18,2,5086.9502,0,65037
2103801801,2,Male,18,3,9734.6904,0,58353
2601367802,1,Male,18,3,42221.289,0,72225
160255904,1,Female,18,1,35088.289,0,2644
2201364406,1,Male,18,2,26439.449,0,60705
505183406,1,Male,18,2,8787.6699,0,13900
1104870705,2,Male,18,2,14405.95,0,31604
506679621,2,Male,18,2,8015.3101,579,14773
1801746517,2,Male,18,2,38029.879,145.16,50996
1060277422,1,Male,18,2,38503.219,0,30458
2500718805,1,Female,18,3,41909.25,0,68797
460156508,1,Male,18,3,9179.8604,0,11449
2504112504,2,Male,18,1,14749.36,0,70425
301121906,1,Female,18,2,7164.8198,2903.22,8211
1701359804,1,Male,18,1,9818.9902,0,47700
2660603317,2,Female,18,3,25904.301,0,74227
1203265018,1,Male,18,2,5331.5098,0,34761
2503439403,1,Male,18,1,34278.98,0,70000
260206818,1,Female,18,3,53350.801,0,5895
2901726704,1,Female,18,2,9916.5596,0,80095
203827406,1,Male,18,2,68233.57,0,3511
1410109911,1,Male,18,2,28274.881,10074.18,39973
2061379213,1,Female,18,1,10464.75,0,57291
601142204,1,Female,18,2,24824.15,0,16865
1301053501,1,Female,18,3,48199.129,9580.6396,36763
1300728706,1,Female,18,2,33934.41,0,36684
2061407810,1,Male,18,1,15505.11,0,57316
2302249203,1,Male,18,2,14340.65,0,64873
2502242205,1,Male,18,1,33669.078,0,69499
3202065413,1,Male,18,2,17559.77,0,87672
1512065601,1,Male,18,1,13344,0,42325
2808257409,1,Male,18,3,19680.381,0,78138
1902484205,1,Male,18,2,39837.301,0,52312
2900421205,1,Male,18,1,73255.023,30483.859,79072
2300009903,1,Female,18,1,8468.3701,0,63773
300880819,1,Female,19,3,7474.6802,0,7825
808297501,1,Male,19,3,14533.4,0,23648
860158612,1,Female,19,1,10844.24,0,24278
2460796203,1,Male,19,1,20210.9,0,68078
260390222,1,Male,19,3,37257.852,2903.22,6699
3103494016,1,Male,19,3,21102.67,0,84989
660040301,2,Male,19,3,22744.551,0,18176
200150804,1,Male,19,2,54275.27,0,2692
300211804,2,Male,19,2,19622.939,0,7054
860414615,1,Male,19,3,25206.33,0,24694
660083217,1,Male,19,4,11993.16,0,18601
360011603,1,Male,19,1,18082.619,0,8749
600458502,1,Male,19,4,72430.57,5806.4399,16099
2260391608,2,Male,19,3,26707.58,0,62974
601477808,1,Female,19,3,19713.039,0,17543
1560156624,1,Male,19,1,4721.2998,0,43674
2900922204,1,Male,19,4,22873.189,0,79414
860333914,1,Male,19,2,7794.52,1451.61,24574
1560797318,1,Male,19,3,22038.461,0,44161
2300749205,1,Male,19,2,38076.871,0,64092
1561819706,1,Female,19,1,19133.92,0,44781
1800094701,1,Female,19,2,59683.789,7500,49722
560387523,1,Male,19,3,24388.65,0,15489
601463421,1,Male,19,3,27146.721,0,17470
1660904810,1,Male,19,3,34967.199,0,46644
207836402,1,Male,19,2,37046.09,0,4384
260229522,1,Male,19,1,11141.76,0,5980
260129508,1,Female,19,2,38152.16,0,5621
700010001,1,Female,19,1,5602.8901,0,18907
3102188702,1,Female,19,3,27614.75,0,84340
600253501,1,Male,19,1,82134.539,0,15888
260345313,1,Male,19,3,28997.529,0,6502
560092807,1,Female,19,3,22632.01,0,15048
860128311,1,Male,19,2,16454.609,0,24185
260028405,1,Male,19,3,93432.047,0,4909
460171408,1,Male,19,3,96616.25,0,11511
300206705,1,Female,19,2,44374.68,0,7031
260265604,1,Male,19,2,27847.961,0,6163
1261426709,1,Female,19,1,26762.92,3990,36346
908066503,1,Male,19,1,31291.18,0,26322
301104913,1,Female,19,2,21592.25,0,8166
2260316404,2,Female,19,1,15260.86,0,62787
160167024,1,Female,19,3,36390.969,0,2260
806197406,1,Female,19,8,58363.148,0,22924
360050212,1,Male,19,2,4913.1401,0,9002
